0,SansAnimation,Idle,,,,;
0,Music,mus_zz_megalovania,0,,,,,;,
0,SansBody,Handup,,;,,,,,
0,SansBody,HandDown,,;,,,,,
0,SansTorso,Default,,;,,,,,
0,SansHead,ClosedEyes,,,,;,,,
0,SansText,Want to have an unfair      time?,,,,
0.5,BlackScreen,1,,,,;,,,
0,Sound,Flash,,,,,;,,
1,Sound,Ding,,;,,,,,
0.77777,BlackScreen,0,,,,,;,,
0,SansHead,NoEyes,,,;,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,;
0,HeartMode,1,,,,;,,,
0,HeartTeleport,310,304,,,,,,;
0.6,SansBody,HandUp,,,;,,,,
0,SansSlam,3,,,;,,,,
0.5,BlackScreen,1
0.2,BlackScreen,0
0,BoneStab,3,35,0.5666,0.1666,,;,,
0,BoneStab,1,95,0.3666,0.1666,,;,,
1,BlackScreen,1
0.6,SansBody,Handleft,,;,,,,,
0,SansHead,BlueEye,,,;,,,,
0.1,Sound,Ding,,;,,,,,
0,CombatZoneResizeInstant,10,226,204,391,,,,;
0,HeartTeleport,100,270,,;,,,,
0.2,BlackScreen,0

0.25,SansBody,HandUp,,,;,,,,
0.25,SansSlam,3,,,;,,,,
0.25,BoneStab,3,10,0.5666,0.1666,,;,,
0.25,SansBody,HandLeft,,,;,,,,
0.25,SansSlam,2,,,;,,,,
0.25,BoneStab,2,10,0.5666,0.1666,,;,,
0.25,SansBody,HandRight,,,;,,,,
0.25,SansSlam,0,,,;,,,,
0.25,BoneStab,0,10,0.5666,0.1666,,;,,
0.25,SansBody,HandDown,,,;,,,,
0.25,SansSlam,1,,,;,,,,
0.25,BoneStab,1,10,0.5666,0.1666,,;,,
0.25,SansBody,HandUp,,,;,,,,
0.25,SansSlam,3,,,;,,,,
0.25,BoneStab,3,10,0.5666,0.1666,,;,,
0.25,SansBody,HandDown,,,;,,,,
0.25,SansSlam,1,,,;,,,,
0.25,BoneStab,1,10,0.5666,0.1666,,;,,

0,HeartMode,0
0,HeartTeleport,150,370,,;,,,,
0.1,Sound,Ding,,;,,,,,
0,GasterBlaster,2,0,0,73,325,0,0.3,0.1

0.3,GasterBlaster,2,0,0,373,350,180,0.2,0.1
0,GasterBlaster,2,0,0,373,370,180,0.2,0.1

0.1,Sound,Ding,,;,,,,,
0,HeartMode,1
0.3,CombatZoneResize,239,226,404,391,,,,;

0,HeartMode,0

0.1,GasterBlaster,0.2,0,0,250,250,90,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,300,250,90,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,350,250,90,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,400,250,90,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,200,250,0,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,200,300,0,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,200,350,0,1.56666,0.55
0.1,GasterBlaster,0.2,0,0,200,400,0,1.56666,0.55

2,BoneVRepeat,133,350,45,0,210,20,20
0,BoneVRepeat,533,250,45,2,210,20,20

1,GasterBlaster,0.5,0,0,73,300,0,0.56666,0.2
0.5,GasterBlaster,0.5,0,0,73,350,0,0.56666,0.1.

0.3,SansBody,HandUp,,,;,,,,
0.3,BoneStab,3,30,0.5666,0.1666,,;,,

0.3,SansBody,HandLeft,,,;,,,,
1,BoneStab,0,80,0.5666,0.1666,,;,,
0,SansAnimation,Idle,,,,;

0.3,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
1.633,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666


1.888,GetHeartPos,HeartX,HeartY,,,,,,
0,RND,X,360,,,,,,
0,RND,Y,360,,,,,,
0,ANGLE,Ang,$X,$Y,$HeartX,$HeartY,,,
0,GasterBlaster,0,0,0,$X,$Y,$Ang,0.16666,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,RND,X,360,,,,,,
0,RND,Y,360,,,,,,
0,ANGLE,Ang,$X,$Y,$HeartX,$HeartY,,,
0,GasterBlaster,0,0,0,$X,$Y,$Ang,0.16666,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,RND,X,360,,,,,,
0,RND,Y,360,,,,,,
0,ANGLE,Ang,$X,$Y,$HeartX,$HeartY,,,
0,GasterBlaster,0,0,0,$X,$Y,$Ang,0.16666,0.2
